Name,Description,Assignee,Department,System,Duration,URL,URL_Label,Next
장애 신고 접수,,,,ITSM,0.5 hours,https://itsm.example.com/incident,,장애 티켓 생성
장애 티켓 생성,,,,ITSM,0.5 hours,,,초기 분류
초기 분류,,,,ITSM,1 hour,,,긴급 대응 소집:P1 치명;담당자 배정:P2 중대;백로그 등록:P3 경미
백로그 등록,,,,ITSM,0.5 hours,,,정기 처리 검토
정기 처리 검토,,,,,1 week,,,담당자 배정:처리 착수;백로그 종료:재현 불가
백로그 종료,,,,ITSM,,,,
긴급 대응 소집,,,,,0.5 hours,,,상황실 개설
상황실 개설,,,,,0.5 hours,,,영향도 분석
담당자 배정,,,,ITSM,1 hour,,,영향도 분석
영향도 분석,,,,모니터링 대시보드,2 hours,https://grafana.example.com/dashboards,,원인 조사
원인 조사,,,,,4 hours,,,임시 조치 적용:원인 파악;외부 벤더 문의:외부 요인;에스컬레이션:원인 불명
외부 벤더 문의,,,,벤더 포털,1 day,,,벤더 답변 검토
벤더 답변 검토,,,,,2 hours,,,임시 조치 적용:해결책 수신;에스컬레이션:답변 불충분
에스컬레이션,,,,,1 hour,,,전문가 그룹 소집
전문가 그룹 소집,,,,,2 hours,,,원인 조사
임시 조치 적용,,,,,2 hours,,,서비스 상태 확인
서비스 상태 확인,,,,모니터링 대시보드,1 hour,,,근본 원인 분석:정상화;원인 조사:미해결
근본 원인 분석,,,,,2 days,,,항구 조치 설계
항구 조치 설계,,,,,3 days,,,변경 요청 기안
변경 요청 기안,,,,ITSM,0.5 days,,,변경 영향 평가
변경 영향 평가,,,,,1 day,,,CAB 심의 상정:일반 변경;표준 변경 처리:표준 변경
표준 변경 처리,,,,ITSM,0.5 days,,,변경 작업 실시
CAB 심의 상정,,,,ITSM,0.5 days,,,CAB 심의
CAB 심의,,,,,1 week,,,변경 일정 확정:승인;변경 요청 보완:조건부 승인;변경 요청 기각:기각
변경 요청 보완,,,,,2 days,,,CAB 심의 상정
변경 요청 기각,,,,,0.5 days,,,대안 검토
대안 검토,,,,,2 days,,,항구 조치 설계:재설계;임시 조치 유지 결정:위험 수용
임시 조치 유지 결정,,,,ITSM,0.5 days,,,사후 검토 회의
변경 일정 확정,,,,ITSM,0.5 days,,,작업 계획 공지
작업 계획 공지,,,,그룹웨어,0.5 days,,,변경 작업 실시
변경 작업 실시,,,,,4 hours,,,변경 결과 검증
변경 결과 검증,,,,모니터링 대시보드,2 hours,,,모니터링 강화:성공;롤백 실시:실패
롤백 실시,,,,,2 hours,,,롤백 확인
롤백 확인,,,,모니터링 대시보드,1 hour,,,변경 요청 보완:원복 완료;긴급 대응 소집:원복 실패
모니터링 강화,,,,모니터링 대시보드,3 days,,,안정화 판정
안정화 판정,,,,,1 day,,,사후 검토 회의:안정;모니터링 강화:관찰 지속
사후 검토 회의,,,,,2 hours,,,개선 과제 등록
개선 과제 등록,,,,위키,1 day,https://wiki.example.com/postmortem,,장애 종결 처리
장애 종결 처리,,,,ITSM,0.5 hours,,,
